Dataset,SSDP-k30-foWRAcc,SSDP3x3-k30-foWRAcc,SSDPmXcAuto-k30-foWRAcc,SSDPmXcAuto3x3-k30-foWRAcc,SSDPm10Xc90-k30-foWRAcc,SSDPm10Xc903x3-k30-foWRAcc,SSDPm50Xc50-k30-foWRAcc,SSDPm50Xc503x3-k30-foWRAcc,SD-k30-foWRAcc
burczynski-pn-freq-4,0.11478702957405909,0.11478702957405909,0.11478702957405909,0.11478702957405909,0.11478702957405909,0.11478702957405909,0.11478702957405909,0.11478702957405909,0.11478702957405909
burczynski-pn-freq-8,0.06745613491226977,0.06745613491226977,0.06745613491226977,0.06745613491226977,0.06745613491226977,0.06745613491226977,0.06745613491226977,0.06745613491226977,0.06745613491226977
burczynski-pn-width-2,0.23946555893111787,0.23893814454295553,0.2384785169570339,0.2399026598053196,0.23567259801186263,0.23951557236447804,0.24103457540248416,0.24139355612044558,0.22182404364808717
burczynski-pn-width-4,0.20186455039576745,0.2058094116188231,0.19874119081571498,0.2061584723169446,0.19751482836299006,0.20160208320416637,0.20088536177072353,0.20494988323309973,0.20846508359683386
burczynski-pn-width-8,0.1329328125322917,0.1408539483745634,0.11953003906007809,0.1403443073552813,0.11930167193667718,0.13775848885031097,0.11636348606030544,0.14114679562692453,0.14475995618657897
chiaretti-pn-freq-2,0.14010416666666667,0.14007568359375,0.14007161458333334,0.14007568359375,0.14004150390625,0.14008382161458335,0.14005249023437502,0.14006876627604167,0.14007568359375
chiaretti-pn-freq-4,0.09322916666666668,0.09331054687499998,0.09322916666666668,0.09331054687499998,0.09322916666666668,0.09331054687499998,0.09322916666666668,0.09331054687499998,0.09331054687499998
chiaretti-pn-freq-8,0.052734375,0.052734375,0.052734375,0.052734375,0.052734375,0.052734375,0.052734375,0.052734375,0.052734375
chiaretti-pn-width-2,0.18664143880208334,0.18774820963541664,0.18526489257812498,0.20192382812499998,0.18563191731770834,0.190673828125,0.18642862955729167,0.18798583984375003,0.18538004557291668
chiaretti-pn-width-4,0.18427408854166666,0.18483886718750003,0.18184570312499998,0.18688924153645833,0.183597412109375,0.185772705078125,0.18388427734374999,0.18633666992187498,0.18996988932291667
chiaretti-pn-width-8,0.10194335937500001,0.10804850260416668,0.09481892903645832,0.10625366210937501,0.09052775065104166,0.105546875,0.09321655273437499,0.10810953776041665,0.11244303385416668
chin-pn-freq-2,0.14140812027195243,0.1427918222732931,0.1412429378531073,0.1425555395959015,0.14140812027195243,0.1425835487886622,0.14140812027195243,0.14260677008522452,0.14289476204155888
chin-pn-freq-4,0.08571052379584417,0.08571052379584417,0.08571052379584417,0.08571052379584417,0.08571052379584417,0.08571052379584417,0.08571052379584417,0.08571052379584417,0.08571052379584417
chin-pn-freq-8,0.046322895719620824,0.046322895719620824,0.046322895719620824,0.046322895719620824,0.046322895719620824,0.046322895719620824,0.046322895719620824,0.046322895719620824,0.046322895719620824
chin-pn-width-2,0.2215079479076894,0.22131092597912477,0.2179160681796418,0.22152590251843343,0.21784879823805414,0.2203689074020875,0.22060854160681798,0.22186368859523128,0.2141673848510966
chin-pn-width-4,0.1940919754859715,0.20260940342813366,0.19137771713109258,0.1990247055443838,0.19186871588623958,0.1977575888154745,0.19183232787513171,0.19835990615723445,0.1953868620128316
chin-pn-width-8,0.1448379297136838,0.1684118548309872,0.14808627788949533,0.16873575600880975,0.15887005649717517,0.16490831178780047,0.15032414057263235,0.16807167480609023,0.17132768361581932
chowdary-pn-freq-2,0.1848126232741616,0.1848126232741616,0.1848126232741616,0.1848126232741616,0.1848126232741616,0.1848126232741616,0.1848126232741616,0.1848126232741616,0.1848126232741616
chowdary-pn-freq-4,0.10388929980276132,0.10388929980276132,0.10388929980276132,0.10388929980276132,0.10388929980276132,0.10388929980276132,0.10388929980276132,0.10388929980276132,0.10388929980276132
chowdary-pn-freq-8,0.06102071005917163,0.061883629191321524,0.06102071005917163,0.0619354043392505,0.06102071005917163,0.061947115384615406,0.06102071005917163,0.06189965483234715,0.06216715976331362
chowdary-pn-width-2,0.23200382149901388,0.23161982248520713,0.2327705867850099,0.2327705867850099,0.23213264299802772,0.23213264299802772,0.23309664694280077,0.23309664694280077,0.22687376725838254
chowdary-pn-width-4,0.22973927514792908,0.2289139546351086,0.2301429980276135,0.2301429980276135,0.2299026134122289,0.2299026134122289,0.23033592209072987,0.23033592209072987,0.202379191321499
chowdary-pn-width-8,0.23238905325443798,0.23242110453648918,0.23236871301775155,0.23236871301775155,0.2326374506903354,0.2326374506903354,0.23235145463510856,0.23235145463510856,0.23276627218934914
christensen-pn-freq-2,0.2161419156632475,0.216170089263593,0.21616272731777406,0.21616272731777406,0.21614800342613621,0.21616272731777406,0.21615536537195515,0.21615536537195515,0.216170089263593
christensen-pn-freq-4,0.11977885847367045,0.11977885847367045,0.11977885847367045,0.11977885847367045,0.11977885847367045,0.11977885847367045,0.11977885847367045,0.11977885847367045,0.11977885847367045
christensen-pn-freq-8,0.06080967246419901,0.06080967246419901,0.06080967246419901,0.06080967246419901,0.06080967246419901,0.06080967246419901,0.06080967246419901,0.06080967246419901,0.06080967246419901
christensen-pn-width-2,0.22932829323196505,0.23956904301783144,0.23571506438163198,0.23571506438163198,0.23254532197894767,0.23254532197894767,0.2352715779339832,0.2352715779339832,0.22597067963501744
christensen-pn-width-4,0.22102026658738416,0.23493668018716335,0.21947517820864038,0.21947517820864038,0.22567032640319393,0.22567032640319393,0.2243054641211323,0.2243054641211323,0.2099223456291986
